,TweetText,RetweetCount
13,RT @ GeeksOfColor : Avengers : 'We need somebody to distract Thanos ! 'Bucky and The Black Panther Army : https : //t.co/Q2DZQ1czHD,20612
50,RT @ iamgeekingout : when you realize avengers infinity war is next in our 2018 list https : //t.co/dfsHKHXxpJ,10464
95,RT @ whitewolfseb : tchalla meeting all the avengers for the first time https : //t.co/u54KQ0hm1Q,9010
17,RT @ GeeksOfColor : Avengers : We need someone to distract Thanos T ’ Challa and Star-lord : https : //t.co/NuWZrpjEqJ,5581
87,RT @ MarvelNewz : PETER PARKER WILL WEAR THE IRON SPIDER SUIT IN AVENGERS INFINITY WAR . https : //t.co/kEiH6se94Z,4274
77,"RT @ britany_murphs : # BlackPanther Cast Question : Would you rather find out you 're on the Dora Milaje 's wanted list , or the Avengers ? Dani…",3158
83,RT @ imafreebeotch : Together ! ✊Avengers Assemble ! # Loki # Hulk # Drax # Thor # Shuri # Groot # Nakia # Okoye # Vision # Falcon # Mantis # Gamora # Iro…,1697
68,RT @ ModeratelyOkCos : When you want to text the Avengers but Dormammu won ’ t stop trying to bargain again https : //t.co/jGfcLXzFKt,1667
22,RT @ MarvelNewz : MARVEL HAS 20 FILMS PLANNED AFTER AVENGERS 4. https : //t.co/0ZcaAW7AJr,746
57,RT @ MarvelNewz : NEW Photos from the AVENGERS 4 Set of Robert Downey Jr & amp ; Chris Evans ! https : //t.co/Dyst1lhp18,738
