,text,retweetCount
108,RT @ zakimits : February 14 - Black PantherMay 4 - Avengers : Infinity WarMay 18 - DEADPOOL IIJuly 6 - Ant-Man and The WaspOctober 5 - Ven…,20818
71,RT @ GeeksOfColor : Avengers : 'We need somebody to distract Thanos ! 'Bucky and The Black Panther Army : https : //t.co/Q2DZQ1czHD,19847
80,"RT @ Avengers : Thanks , @ TomHolland1996 . Thanks , @ MarkRuffalo . # InfinityWar ( via @ TomHolland1996 's Instagram Live ) https : //t.co/MidhVRE8Bw",7993
81,RT @ blondieseb : tchalla meeting all the avengers for the first time https : //t.co/u54KQ0hm1Q,5329
59,RT @ nickdenbow11 : the avengers won ’ t be complete until sharkboy and lavagirl join,4971
63,RT @ Avengers : A special message for the fans . Find out how you can enter the Marvel Studios Ultimate Fan Sweepstakes for a chance to win a…,3571
47,RT @ harleivy : if the avengers had twitter accounts https : //t.co/psibkJufXv,3306
42,RT @ avoxes : tony stark paying for everything the avengers need and for every property they damage https : //t.co/z6pim8pxfT,1901
20,RT @ HotGamerSex : Avengers : Infinity War Official Trailer ( 2017 ) https : //t.co/dmGFYHn33k,523
24,RT @ tomhupdates : # NEW Avengers : Infinity War Footage to Air on The Disney Channel TOMORROW ! ! https : //t.co/zK8ZWn1k8x,429
83,"RT @ 5SOSFamUpdater : conspiracy theory : 5SOS ’ header turns purple as avengers infinity war promo , and the purple is actually thanos collecti…",363
10,RT @ theblackpanther : Enter the Marvel Studios Ultimate Fan sweepstakes . Tweet your favorite Black Panther memory or your own personal photo…,289
54,"RT @ harleivy : if the avengers had twitter accounts , part 2 ( with a sprinkle of the guardians ) https : //t.co/01ev3zwY35",253
39,"RT @ JosephPIllidge : So y'all renaming that movie coming out in May BLACK PANTHER AND THE AVENGERS , right ? https : //t.co/yZI1BImaJf",227
55,"RT @ TrevellAnderson : # BoxOffice : # BlackPanther pulled $ 25.2m from Thursday previews , almost double the previous Feb. record held by `` Deadpo…",216
84,RT @ CouRageJD : Black Panther was absolutely awesome . The story of Wakanda is shared so well in the film and you immediately get invested in…,213
6,"RT @ maryxglz : `` Hello , Bruce . '' # ThorRagnarok # Avengers # Loki # Hulk # TomHiddleston # MarkRuffalo # LokiDay https : //t.co/xhuPbGd8QG",212
57,RT @ montajesasgaya : Wallpaper Black Panther . @ theblackpanther # BlackPanther @ Avengers @ MarvelStudios # theavengers @ chadwickboseman # Infini…,160
85,RT @ MarvelousRealm : 🚨TONIGHT🚨An exclusive special look at # Avengers # InfinityWar on the Disney Channel.Video Cred : Darius Bell YThttps : /…,152
107,RT @ MovieMantz : BREAKING ! ! # BlackPanther opens with $ 25.2m in Thursday night previews ! Second-biggest Thursday night ever for a # Marvel mov…,148
17,RT @ lordmesa : “ Catsicle ” 🍦🙀🍦 @ VancityReynolds @ chadwickboseman @ RobertDowneyJr @ deadpoolmovie @ theblackpanther @ Avengers # Deadpool # RyanReyn…,113
60,RT @ MarvelousRealm : IGN provides a new look at the Infinity Gauntlet replica from Hasbro. # Avengers # InfinityWar # Thanos https : //t.co/8N6L…,111
101,RT @ THR : # BlackPanther is set to score the top February opening of all time and possibly the best showing of any Marvel movie ( The Avengers…,108
40,"RT @ MattGoldberg : If you ’ re wondering what kinds of records # BlackPanther could break on its opening weekend , here are the current record-h…",108
88,"RT @ TeamDowney1965 : The new special view Avengers : Infinity War trailer will be released on Saturday , February 17th . https : //t.co/cR3JrWuK…",103
53,"RT @ MarveIFacts : # BlackPanther opened to a insane $ 25.2 million last night in the U.S. , making it the second-best MCU preview opening only…",97
52,RT @ ERCboxoffice : Now you ’ re playing with power . BLACK PANTHER pounced on $ 25.2M last night in previews—topping CAPTAIN AMERICA : CIVIL WAR…,59
79,RT @ Forsakenvow : I finally watched Thor : Ragnarok and came to the following conclusion : Avengers ? out.Revengers ? in . https : //t.co/6tIFNlss…,46
45,RT @ ChilledChaos : I Ranked my favorite Marvel Films ... How different is your list ? CA : Civil WarThor RagnarokIron ManCA : Winter Soldier…,29
15,"RT @ totalfilm : Hey everyone , why do n't we rewatch all of the MCU before Avengers : Infinity War comes out ? https : //t.co/fwnGaw8ndK # MCUrecap…",24
106,RT @ gamespot : Every confirmed character in Avengers : # InfinityWar so far https : //t.co/fqmAdqWkY2 https : //t.co/JPM1NIoZG9,24
96,RT @ AlfredMurphy5 : 76 days until # Avengers # InfinityWar https : //t.co/EHQSaOHCCN,23
50,RT @ HELLB0YES : Here ’ s a NEW Look at Thor ’ s Hammer-Axe Hybrid Stormbreaker in Avengers Infinity War . # Thor # AvengersInfinityWar https : //t.co…,20
