,TweetText,RetweetCount
0,RT @ iamgeekingout : when you realize avengers infinity war is next in our 2018 list https : //t.co/dfsHKHXxpJ,10458
8,RT @ MarvelNewz : PETER PARKER WILL WEAR THE IRON SPIDER SUIT IN AVENGERS INFINITY WAR . https : //t.co/kEiH6se94Z,4274
7,RT @ MarvelNewz : NEW Photos from the AVENGERS 4 Set of Robert Downey Jr & amp ; Chris Evans ! https : //t.co/Dyst1lhp18,738
1,RT @ JoshuaYehl : Avengers # 1 will kick off a fresh start for the @ MarvelComics publishing line . We have your first details on the new team r…,631
9,RT @ MarvelNewz : Robert Downey Jr ’ s contracts is coming to the end now as he completed filming Avengers 4 . Thank you for being our Tony Star…,582
6,RT @ MarvelNewz : Robert Downey Jr taking a selfie with director Joe Russo to celebrate completing filming on AVENGERS 4 ! https : //t.co/m1t1rZ…,302
2,RT @ TheSpencerPerry : So Marvel rebranded all their comics to the legacy numbers and are in the middle of a 16 week event to rush Avengers t…,44
5,RT @ DremixTheRogue : # RobbieReyes is a member of the # avengers . My boy made it ! ! ! ! @ FelipeTweeters @ Marvel # GhostRider https : //t.co/139ONHiP…,4
3,Dammit . I made myself sad . : & lt ; *goes to reread the Young Avengers comics*,0
4,@ EmperorBigD 1 ) Iron Man2 ) Black Panther 3 ) Civil War 4 ) Winter Soldier 5 ) The Avengers,0
